index,red1,ir1,red2,ir2
702,164611,139763,174417,143401
703,164612,139765,174477,143432
704,164639,139761,174623,143476
705,164645,139765,174609,143469
706,164661,139754,174587,143466
707,164668,139751,174666,143500
708,164670,139743,174730,143525
709,164594,139727,174806,143555
710,164473,139698,174857,143559
711,164441,139693,174875,143577
712,164455,139700,174919,143592
713,164458,139705,174919,143592
714,164482,139703,174938,143585
715,164511,139701,174954,143586
716,164511,139689,174961,143583
717,164493,139681,175004,143602
718,164507,139680,175022,143622
719,164527,139657,175052,143616
720,164560,139665,175056,143617
721,164565,139672,174925,143563
722,164579,139666,174619,143455
723,164595,139671,174492,143408
724,164596,139656,174491,143405
725,164593,139656,174480,143396
726,164601,139658,174520,143410
727,164610,139656,174644,143460
728,164617,139633,174672,143469
729,164636,139643,174630,143450
730,164634,139650,174686,143477
731,164593,139628,174751,143502
732,164405,139470,175162,143493
733,164498,139469,175132,143500
734,164528,139470,175155,143509
735,164557,139499,175165,143510
736,164559,139499,175199,143518
737,164572,139497,175230,143529
738,164577,139499,175235,143530
739,164589,139502,175194,143512
740,164588,139506,174997,143442
741,164596,139510,174844,143374
742,164629,139518,174877,143392
743,164628,139520,174906,143401
744,164636,139531,174945,143417
745,164639,139523,174997,143436
746,164528,139509,175012,143429
747,164443,139496,174976,143431
748,164434,139486,174980,143425
749,164469,139510,175031,143444
750,164480,139513,175063,143453
751,164535,139521,175086,143458
752,164551,139521,175107,143465
753,164516,139499,175096,143457
754,164522,139514,175135,143475
755,164552,139512,175114,143465
756,164572,139506,175114,143456
757,164599,139512,175126,143461
758,164596,139525,175157,143472
759,164612,139511,175181,143475
760,164622,139518,175117,143447
761,164641,139517,174901,143361
762,164641,139514,174693,143298
763,164644,139513,174703,143291
764,164655,139518,174767,143312
765,164669,139519,174777,143319
766,164685,139531,174842,143345
767,164697,139533,174881,143360
768,164668,139539,174857,143337
769,164529,139515,174840,143335
770,164440,139525,174877,143353
771,164446,139525,174935,143368
772,164476,139533,174983,143386
773,164463,139511,175013,143409
774,164501,139497,175015,143410
